entryID,timestamp,temperature,humidity,co2,ch4,h2s,pressure,extTemp,extHum
9306,1764570073747,30.625,80.0,400.0,3505.0,4095.0,100.08723404255319,30.2,46.0
10003,1764669228574,27.875,69.0,402.0,4095.0,4095.0,101.29349186483105,33.8,39.0
10004,1764594952108,21.125,71.0,403.0,4095.0,4095.0,99.26070087609511,25.8,69.0
10005,1764595334269,21.0,71.0,400.0,4095.0,4095.0,99.89812265331666,,
10006,1764572327536,30.25,77.0,403.0,4095.0,4095.0,101.67146433041302,33.3,40.0
10007,1764674217476,24.5,69.0,400.0,4095.0,4095.0,100.30550688360451,29.3,52.0
10009,1764587813691,24.5,75.0,402.0,4095.0,4095.0,100.76433041301627,31.3,56.0
10010,1764592025993,21.875,72.0,402.0,4095.0,4095.0,99.99411764705883,26.2,69.0
10012,1764600346616,19.25,70.0,400.0,4095.0,4095.0,100.77271589486858,26.2,69.0
10013,1764598479712,20.0,70.0,402.0,4095.0,4095.0,100.12340425531916,26.2,68.0
10014,1764598443864,20.125,70.0,402.0,4095.0,4095.0,100.9738423028786,26.7,68.0
10025,1764670512057,27.75,69.0,402.0,4095.0,4095.0,99.68360450563205,33.3,40.0
10026,1764669528972,27.75,69.0,400.0,4095.0,4095.0,101.0529411764706,33.3,39.0
10027,1764674853509,23.75,70.0,401.0,4095.0,4095.0,101.1852315394243,29.8,52.0
10028,1764668760975,28.0,68.0,403.0,4095.0,4095.0,99.97571964956197,33.8,38.0
10030,1764672847974,26.0,70.0,,,,103.20225281602004,,
10033,1764669564843,27.75,69.0,403.0,4095.0,4095.0,100.0610763454318,33.3,40.0
10034,1764671360429,27.375,69.0,403.0,4095.0,4095.0,101.18986232790989,32.3,43.0
10040,1764662877484,29.0,68.0,400.0,4095.0,4095.0,104.2637046307885,33.3,39.0
10041,1764673010455,25.875,69.0,400.0,4095.0,4095.0,99.98898623279099,30.8,50.0
10044,1764669898504,27.875,69.0,401.0,3997.0,4095.0,99.7459324155194,33.3,40.0
10046,1764674664889,23.875,70.0,402.0,4095.0,4095.0,101.66082603254068,29.8,52.0
